,State,Year,Median Income,Standard Error
668,Texas,2013 (38),"67,510","2,054"
669,Utah,2013 (38),"80,170","5,267"
670,Vermont,2013 (38),"69,830","3,795"
671,Virginia,2013 (38),"86,090","3,236"
672,Washington,2013 (38),"76,530","2,799"
673,West Virginia,2013 (38),"51,230","3,425"
674,Wisconsin,2013 (38),"70,350","2,977"
675,Wyoming,2013 (38),"70,920","4,034"
677,Alabama,2012,"56,010","3,259"
678,Alaska,2012,"82,020","3,658"
679,Arizona,2012,"60,620","3,765"
680,Arkansas,2012,"50,280","3,624"
681,California,2012,"73,480","1,595"
682,Colorado,2012,"73,780","3,490"
683,Connecticut,2012,"82,790","3,676"
684,Delaware,2012,"63,110","2,546"
685,District of Columbia,2012,"84,080","4,731"
686,Florida,2012,"59,370","1,430"
687,Georgia,2012,"62,010","1,938"
688,Hawaii,2012,"72,500","2,906"
689,Idaho,2012,"61,750","4,089"
690,Illinois,2012,"66,670","1,711"
691,Indiana,2012,"59,480","2,303"
692,Iowa,2012,"68,870","2,755"
693,Kansas,2012,"64,440","2,335"
694,Kentucky,2012,"52,940","2,448"
695,Louisiana,2012,"50,370","2,076"
696,Maine,2012,"63,350","2,896"
697,Maryland,2012,"92,570","2,385"
698,Massachusetts,2012,"82,030","4,862"
699,Michigan,2012,"64,450","1,952"
700,Minnesota,2012,"79,630","1,725"
701,Mississippi,2012,"47,220","1,992"
702,Missouri,2012,"64,130","2,631"
703,Montana,2012,"58,100","3,305"
704,Nebraska,2012,"67,260","3,478"
705,Nevada,2012,"61,000","3,264"
706,New Hampshire,2012,"87,390","2,866"
707,New Jersey,2012,"85,940","2,526"
708,New Mexico,2012,"55,960","2,921"
709,New York,2012,"61,440","2,042"
710,North Carolina,2012,"53,550","1,667"
711,North Dakota,2012,"71,860","2,736"
712,Ohio,2012,"57,180","2,220"
713,Oklahoma,2012,"62,380","3,635"
714,Oregon,2012,"66,720","3,003"
715,Pennsylvania,2012,"66,890","1,811"
716,Rhode Island,2012,"72,250","3,300"
717,South Carolina,2012,"57,220","2,780"
718,South Dakota,2012,"63,680","2,197"
719,Tennessee,2012,"55,400","3,102"
720,Texas,2012,"66,910","1,224"
721,Utah,2012,"75,180","3,794"
722,Vermont,2012,"71,620","3,905"
723,Virginia,2012,"83,290","2,791"
724,Washington,2012,"80,140","2,898"
725,West Virginia,2012,"56,120","3,575"
726,Wisconsin,2012,"68,400","2,202"
727,Wyoming,2012,"74,110","3,634"
729,Alabama,2011,"55,940","2,655"
730,Alaska,2011,"75,440","4,873"
731,Arizona,2011,"63,860","3,184"
732,Arkansas,2011,"54,250","2,429"
733,California,2011,"70,100","1,810"
734,Colorado,2011,"77,010","3,353"
735,Connecticut,2011,"85,920","3,959"
736,Delaware,2011,"71,800","2,292"
737,District of Columbia,2011,"72,570","2,770"
738,Florida,2011,"59,250","1,495"
739,Georgia,2011,"60,390","3,261"
740,Hawaii,2011,"77,560","3,325"
741,Idaho,2011,"62,340","4,582"
742,Illinois,2011,"66,510","1,805"
743,Indiana,2011,"58,380","3,033"
744,Iowa,2011,"65,960","2,593"
745,Kansas,2011,"60,610","2,561"
746,Kentucky,2011,"52,350","2,426"
747,Louisiana,2011,"53,400","2,534"
748,Maine,2011,"65,270","2,605"
749,Maryland,2011,"90,470","2,791"
750,Massachusetts,2011,"83,160","4,237"
751,Michigan,2011,"64,200","2,422"
752,Minnesota,2011,"75,950","3,126"
753,Mississippi,2011,"53,970","3,108"
754,Missouri,2011,"60,120","2,833"
755,Montana,2011,"52,900","2,674"
756,Nebraska,2011,"73,050","3,537"
757,Nevada,2011,"61,790","3,506"
758,New Hampshire,2011,"86,530","2,170"
759,New Jersey,2011,"81,880","3,977"
760,New Mexico,2011,"55,140","2,829"
761,New York,2011,"66,510","1,321"
762,North Carolina,2011,"59,380","2,049"
763,North Dakota,2011,"74,030","3,888"
764,Ohio,2011,"58,650","1,576"
765,Oklahoma,2011,"63,650","3,146"
766,Oregon,2011,"67,680","2,111"
767,Pennsylvania,2011,"65,560","2,225"
768,Rhode Island,2011,"64,410","2,999"
769,South Carolina,2011,"52,650","2,236"
770,South Dakota,2011,"62,030","2,820"
771,Tennessee,2011,"55,530","3,357"
772,Texas,2011,"64,420","1,514"
773,Utah,2011,"72,890","2,179"
774,Vermont,2011,"68,120","2,636"
775,Virginia,2011,"82,250","2,329"
776,Washington,2011,"74,670","2,605"
777,West Virginia,2011,"54,930","2,320"
778,Wisconsin,2011,"68,380","2,715"
779,Wyoming,2011,"71,600","2,991"
781,Alabama,2010 (37),"55,440","3,245"
782,Alaska,2010 (37),"78,340","3,237"
783,Arizona,2010 (37),"63,510","3,016"
784,Arkansas,2010 (37),"52,260","3,337"
785,California,2010 (37),"73,520","1,601"
786,Colorado,2010 (37),"81,570","3,360"
787,Connecticut,2010 (37),"89,380","2,837"
788,Delaware,2010 (37),"74,780","3,054"
789,District of Columbia,2010 (37),"77,100","4,514"
790,Florida,2010 (37),"59,680","2,091"
791,Georgia,2010 (37),"59,750","2,468"
792,Hawaii,2010 (37),"80,630","3,699"
793,Idaho,2010 (37),"63,720","2,531"
794,Illinois,2010 (37),"68,700","1,996"
795,Indiana,2010 (37),"62,490","3,485"
796,Iowa,2010 (37),"66,380","1,817"
797,Kansas,2010 (37),"62,370","2,459"
798,Kentucky,2010 (37),"55,670","3,823"
799,Louisiana,2010 (37),"53,220","4,399"
800,Maine,2010 (37),"64,910","2,285"
801,Maryland,2010 (37),"86,950","3,111"
802,Massachusetts,2010 (37),"82,520","2,970"
803,Michigan,2010 (37),"62,670","2,352"
804,Minnesota,2010 (37),"70,860","2,175"
805,Mississippi,2010 (37),"51,680","3,833"
806,Missouri,2010 (37),"62,050","2,921"
807,Montana,2010 (37),"55,910","2,501"
808,Nebraska,2010 (37),"71,110","2,385"
809,Nevada,2010 (37),"69,340","2,603"
810,New Hampshire,2010 (37),"90,240","2,236"
811,New Jersey,2010 (37),"85,280","3,309"
812,New Mexico,2010 (37),"61,120","4,085"
813,New York,2010 (37),"67,420","1,788"
814,North Carolina,2010 (37),"59,360","2,604"
815,North Dakota,2010 (37),"69,080","3,130"
816,Ohio,2010 (37),"62,140","2,022"
817,Oklahoma,2010 (37),"58,370","2,807"
818,Oregon,2010 (37),"68,530","2,038"
819,Pennsylvania,2010 (37),"65,430","2,042"
820,Rhode Island,2010 (37),"69,910","2,343"
821,South Carolina,2010 (37),"56,470","1,977"
822,South Dakota,2010 (37),"61,420","2,770"
823,Tennessee,2010 (37),"52,260","1,702"
824,Texas,2010 (37),"64,010","1,570"
825,Utah,2010 (37),"76,790","2,657"
826,Vermont,2010 (37),"75,740","3,043"
827,Virginia,2010 (37),"81,750","2,661"
828,Washington,2010 (37),"76,060","2,790"
829,West Virginia,2010 (37),"57,930","3,410"
830,Wisconsin,2010 (37),"68,190","1,943"
831,Wyoming,2010 (37),"70,700","2,954"
833,Alabama,2009 (36),"54,890","1,241"
834,Alaska,2009 (36),"84,570","2,404"
835,Arizona,2009 (36),"62,790","1,704"
836,Arkansas,2009 (36),"50,160","1,248"
837,California,2009 (36),"77,070",850
838,Colorado,2009 (36),"76,790","2,190"
839,Connecticut,2009 (36),"89,030","3,169"
840,Delaware,2009 (36),"71,550","2,445"
841,District of Columbia,2009 (36),"72,960","2,867"
842,Florida,2009 (36),"62,650",969
843,Georgia,2009 (36),"59,500","1,724"
844,Hawaii,2009 (36),"76,400","2,777"
845,Idaho,2009 (36),"64,220","1,735"
846,Illinois,2009 (36),"72,580","1,292"
847,Indiana,2009 (36),"60,830","1,490"
848,Iowa,2009 (36),"69,630","2,107"
849,Kansas,2009 (36),"61,390","2,455"
850,Kentucky,2009 (36),"58,570","1,803"
851,Louisiana,2009 (36),"62,370","2,489"
852,Maine,2009 (36),"65,210","2,387"
853,Maryland,2009 (36),"88,120","2,298"
854,Massachusetts,2009 (36),"81,510","2,401"
855,Michigan,2009 (36),"63,140","1,377"
856,Minnesota,2009 (36),"77,000","1,698"
857,Mississippi,2009 (36),"48,160","1,790"
858,Missouri,2009 (36),"66,950","2,190"
859,Montana,2009 (36),"55,520","1,376"
860,Nebraska,2009 (36),"68,090","2,275"
861,Nevada,2009 (36),"70,610","1,506"
862,New Hampshire,2009 (36),"88,040","2,548"
863,New Jersey,2009 (36),"88,930","2,635"
864,New Mexico,2009 (36),"59,780","2,051"
865,New York,2009 (36),"68,940",822
866,North Carolina,2009 (36),"57,530",791
867,North Dakota,2009 (36),"68,750","2,386"
868,Ohio,2009 (36),"62,990",859
869,Oklahoma,2009 (36),"62,990","1,564"
870,Oregon,2009 (36),"67,410","2,257"
871,Pennsylvania,2009 (36),"66,130","1,286"
872,Rhode Island,2009 (36),"70,890","1,985"
873,South Carolina,2009 (36),"56,430","1,528"
874,South Dakota,2009 (36),"62,910","1,770"
875,Tennessee,2009 (36),"55,630","1,356"
876,Texas,2009 (36),"65,180","1,020"
877,Utah,2009 (36),"80,300","2,180"
878,Vermont,2009 (36),"71,830","1,974"
879,Virginia,2009 (36),"83,060","1,638"
880,Washington,2009 (36),"82,910","1,646"
881,West Virginia,2009 (36),"55,590","1,253"
882,Wisconsin,2009 (36),"70,340","1,107"
883,Wyoming,2009 (36),"72,040","2,926"
885,Alabama,2008,"60,810","2,268"
886,Alaska,2008,"87,500","3,148"
887,Arizona,2008,"64,150","1,538"
888,Arkansas,2008,"54,130","1,633"
889,California,2008,"77,960","1,134"
890,Colorado,2008,"83,330","2,595"
891,Connecticut,2008,"88,440","3,693"
892,Delaware,2008,"69,330","1,898"
893,District of Columbia,2008,"76,010","2,411"
894,Florida,2008,"61,340","1,173"
895,Georgia,2008,"63,210","1,592"
896,Hawaii,2008,"84,120","2,025"
897,Idaho,2008,"64,840","2,299"
898,Illinois,2008,"72,820","1,812"
899,Indiana,2008,"63,610","1,620"
900,Iowa,2008,"68,560","1,768"
901,Kansas,2008,"65,470","1,928"
902,Kentucky,2008,"56,260","1,110"
903,Louisiana,2008,"54,100","2,032"
904,Maine,2008,"64,580","1,964"
905,Maryland,2008,"87,120","2,419"
906,Massachusetts,2008,"82,480","2,289"
907,Michigan,2008,"68,080","1,578"
908,Minnesota,2008,"75,100","1,951"
909,Mississippi,2008,"49,830","1,135"
910,Missouri,2008,"62,950","1,567"
911,Montana,2008,"58,660","2,412"
912,Nebraska,2008,"69,360","1,715"
913,Nevada,2008,"74,850","3,634"
914,New Hampshire,2008,"90,490","4,381"
915,New Jersey,2008,"89,300","3,141"
916,New Mexico,2008,"57,570","1,888"
917,New York,2008,"69,000",933
918,North Carolina,2008,"58,700","1,157"
919,North Dakota,2008,"67,860","1,624"
920,Ohio,2008,"64,180","1,160"
921,Oklahoma,2008,"63,050","1,273"
922,Oregon,2008,"70,730","1,879"
923,Pennsylvania,2008,"70,290",805
924,Rhode Island,2008,"72,800","3,280"
925,South Carolina,2008,"57,640","1,533"
926,South Dakota,2008,"70,560","1,361"
927,Tennessee,2008,"54,290","1,656"
928,Texas,2008,"63,570",922
929,Utah,2008,"85,510","2,087"
930,Vermont,2008,"69,330","1,343"
931,Virginia,2008,"84,760","1,979"
932,Washington,2008,"77,440","2,763"
933,West Virginia,2008,"51,950","1,920"
934,Wisconsin,2008,"70,010","1,165"
935,Wyoming,2008,"72,930","2,156"
937,Alabama,2007,"59,840","2,013"
938,Alaska,2007,"89,290","2,244"
939,Arizona,2007,"66,930","2,204"
940,Arkansas,2007,"57,830","1,911"
941,California,2007,"79,000",876
942,Colorado,2007,"86,670","1,437"
943,Connecticut,2007,"90,920","2,904"
944,Delaware,2007,"77,380","3,060"
945,District of Columbia,2007,"71,980","1,555"
946,Florida,2007,"64,910",808
947,Georgia,2007,"68,950","1,528"
948,Hawaii,2007,"90,750","3,012"
949,Idaho,2007,"69,720","1,830"
950,Illinois,2007,"74,430","1,347"
951,Indiana,2007,"67,260","1,779"
952,Iowa,2007,"69,330","2,057"
953,Kansas,2007,"68,740","2,559"
954,Kentucky,2007,"55,920","1,717"
955,Louisiana,2007,"58,560","1,328"
956,Maine,2007,"67,890","1,982"
957,Maryland,2007,"93,030","2,354"
958,Massachusetts,2007,"82,870","3,162"
959,Michigan,2007,"69,980","1,131"
960,Minnesota,2007,"82,300","2,676"
961,Mississippi,2007,"52,840","1,348"
962,Missouri,2007,"65,210","1,565"
963,Montana,2007,"61,880","2,408"
964,Nebraska,2007,"69,700","1,955"
965,Nevada,2007,"76,630","1,834"
966,New Hampshire,2007,"95,790","2,617"
967,New Jersey,2007,"85,770","2,067"
968,New Mexico,2007,"62,870","2,089"
969,New York,2007,"69,380","1,301"
970,North Carolina,2007,"61,680","1,520"
971,North Dakota,2007,"66,910","1,814"
972,Ohio,2007,"69,600","1,538"
973,Oklahoma,2007,"61,260","2,060"
974,Oregon,2007,"71,210","1,924"
975,Pennsylvania,2007,"68,660","1,321"
976,Rhode Island,2007,"76,840","2,621"
977,South Carolina,2007,"62,670","2,201"
978,South Dakota,2007,"65,800","1,276"
979,Tennessee,2007,"58,390","1,582"
980,Texas,2007,"65,280",992
981,Utah,2007,"75,880","1,727"
982,Vermont,2007,"67,180","1,982"
983,Virginia,2007,"83,860","1,935"
984,Washington,2007,"82,330","2,461"
985,West Virginia,2007,"59,660","1,402"
986,Wisconsin,2007,"72,690","1,474"
987,Wyoming,2007,"69,090","1,932"
989,Alabama,2006,"55,180","1,474"
990,Alaska,2006,"82,020","2,174"
991,Arizona,2006,"67,830","1,811"
992,Arkansas,2006,"53,880","1,115"
993,California,2006,"80,430","1,010"
994,Colorado,2006,"80,970","2,216"
995,Connecticut,2006,"90,730","3,143"
996,Delaware,2006,"76,240","2,515"
997,District of Columbia,2006,"70,480","2,441"
998,Florida,2006,"66,410",914
999,Georgia,2006,"71,740","1,759"
1000,Hawaii,2006,"87,910","2,284"
1001,Idaho,2006,"67,190","1,907"
1002,Illinois,2006,"70,760","1,697"
1003,Indiana,2006,"66,010","1,797"
1004,Iowa,2006,"69,970","2,168"
1005,Kansas,2006,"66,230","1,820"
1006,Kentucky,2006,"57,410","1,528"
1007,Louisiana,2006,"53,050","2,072"
1008,Maine,2006,"66,360","2,613"
1009,Maryland,2006,"92,560","2,328"
1010,Massachusetts,2006,"80,440","3,023"
1011,Michigan,2006,"70,730","1,404"
1012,Minnesota,2006,"81,720","1,771"
1013,Mississippi,2006,"50,500","2,301"
1014,Missouri,2006,"64,810","2,038"
1015,Montana,2006,"59,760","1,013"
1016,Nebraska,2006,"70,000","2,166"
1017,Nevada,2006,"76,010","1,820"
1018,New Hampshire,2006,"90,090","2,150"
1019,New Jersey,2006,"98,950","2,877"
1020,New Mexico,2006,"58,190","1,827"
1021,New York,2006,"70,110","1,438"
1022,North Carolina,2006,"57,860","1,185"
1023,North Dakota,2006,"59,680","2,043"
1024,Ohio,2006,"66,730",920
1025,Oklahoma,2006,"56,460","2,322"
1026,Oregon,2006,"68,460","2,030"
1027,Pennsylvania,2006,"70,480","1,263"
1028,Rhode Island,2006,"78,120","2,650"
1029,South Carolina,2006,"57,600","1,958"
1030,South Dakota,2006,"66,040","2,386"
1031,Tennessee,2006,"59,160","1,098"
1032,Texas,2006,"62,960","1,204"
1033,Utah,2006,"79,420","2,429"
1034,Vermont,2006,"75,570","1,841"
1035,Virginia,2006,"83,040","2,315"
1036,Washington,2006,"79,560","1,809"
1037,West Virginia,2006,"55,860","1,765"
1038,Wisconsin,2006,"75,150","1,666"
1039,Wyoming,2006,"68,390","2,185"
1041,Alabama,2005,"55,580","1,818"
1042,Alaska,2005,"83,620","1,991"
1043,Arizona,2005,"67,690","1,901"
1044,Arkansas,2005,"54,840","1,958"
1045,California,2005,"77,430",688
1046,Colorado,2005,"75,470","1,925"
1047,Connecticut,2005,"85,030","2,443"
1048,Delaware,2005,"76,650","1,610"
1049,District of Columbia,2005,"67,310","3,242"
1050,Florida,2005,"64,310","1,212"
1051,Georgia,2005,"68,710","1,254"
1052,Hawaii,2005,"89,140","1,813"
1053,Idaho,2005,"66,090","1,876"
1054,Illinois,2005,"72,410","1,475"
1055,Indiana,2005,"63,490","1,646"
1056,Iowa,2005,"69,570","2,003"
1057,Kansas,2005,"62,870","1,474"
1058,Kentucky,2005,"54,900","1,343"
1059,Louisiana,2005,"55,710","1,940"
1060,Maine,2005,"65,710","2,144"
1061,Maryland,2005,"90,530","2,210"
1062,Massachusetts,2005,"83,800","2,624"
1063,Michigan,2005,"68,720","1,369"
1064,Minnesota,2005,"81,110","1,861"
1065,Mississippi,2005,"49,180","1,933"
1066,Missouri,2005,"64,310","1,480"
1067,Montana,2005,"55,820","1,737"
1068,Nebraska,2005,"71,690","2,165"
1069,Nevada,2005,"72,120","2,513"
1070,New Hampshire,2005,"85,250","3,031"
1071,New Jersey,2005,"94,800","3,377"
1072,New Mexico,2005,"58,270","2,543"
1073,New York,2005,"70,580","1,237"
1074,North Carolina,2005,"62,920","1,442"
1075,North Dakota,2005,"63,120","1,827"
1076,Ohio,2005,"66,130","1,565"
1077,Oklahoma,2005,"56,320","2,168"
1078,Oregon,2005,"66,060","2,081"
1079,Pennsylvania,2005,"69,270","1,115"
1080,Rhode Island,2005,"74,030","2,178"
1081,South Carolina,2005,"60,190","1,801"
1082,South Dakota,2005,"64,560","2,048"
1083,Tennessee,2005,"58,950","1,782"
1084,Texas,2005,"61,970",628
1085,Utah,2005,"82,000","1,949"
1086,Vermont,2005,"75,860","1,958"
1087,Virginia,2005,"77,670","1,773"
1088,Washington,2005,"75,770","1,563"
1089,West Virginia,2005,"54,520","1,610"
1090,Wisconsin,2005,"66,800","1,762"
1091,Wyoming,2005,"66,900","2,256"
1093,Alabama,2004 (revised),"56,390","2,006"
1094,Alaska,2004 (revised),"84,760","3,188"
1095,Arizona,2004 (revised),"67,500","1,759"
1096,Arkansas,2004 (revised),"53,850","1,530"
1097,California,2004 (revised),"75,770","1,016"
1098,Colorado,2004 (revised),"78,330","2,448"
1099,Connecticut,2004 (revised),"84,820","2,537"
1100,Delaware,2004 (revised),"73,970","2,187"
1101,District of Columbia,2004 (revised),"66,890","2,869"
1102,Florida,2004 (revised),"62,400",973
1103,Georgia,2004 (revised),"63,090",951
1104,Hawaii,2004 (revised),"86,580","2,602"
1105,Idaho,2004 (revised),"68,280","2,135"
1106,Illinois,2004 (revised),"70,930","1,267"
1107,Indiana,2004 (revised),"65,160","1,772"
1108,Iowa,2004 (revised),"66,790","2,341"
1109,Kansas,2004 (revised),"63,220","2,692"
1110,Kentucky,2004 (revised),"54,820","1,875"
1111,Louisiana,2004 (revised),"56,080","1,913"
1112,Maine,2004 (revised),"63,620","1,883"
1113,Maryland,2004 (revised),"87,900","2,605"
1114,Massachusetts,2004 (revised),"80,080","2,566"
1115,Michigan,2004 (revised),"65,050","1,321"
1116,Minnesota,2004 (revised),"86,360","1,647"
1117,Mississippi,2004 (revised),"53,500","1,743"
1118,Missouri,2004 (revised),"64,860","1,652"
1119,Montana,2004 (revised),"52,270","1,091"
1120,Nebraska,2004 (revised),"67,400","2,050"
1121,Nevada,2004 (revised),"72,660","2,127"
1122,New Hampshire,2004 (revised),"87,460","2,038"
1123,New Jersey,2004 (revised),"85,090","1,975"
1124,New Mexico,2004 (revised),"60,900","2,438"
1125,New York,2004 (revised),"68,730","1,219"
1126,North Carolina,2004 (revised),"61,940","1,250"
1127,North Dakota,2004 (revised),"60,370","1,926"
1128,Ohio,2004 (revised),"66,280","1,504"
1129,Oklahoma,2004 (revised),"60,980","1,727"
1130,Oregon,2004 (revised),"63,100","1,618"
1131,Pennsylvania,2004 (revised),"67,900","1,599"
1132,Rhode Island,2004 (revised),"73,790","3,036"
1133,South Carolina,2004 (revised),"59,560","1,572"
1134,South Dakota,2004 (revised),"63,280","1,532"
1135,Tennessee,2004 (revised),"58,610","1,627"
1136,Texas,2004 (revised),"63,730",845
1137,Utah,2004 (revised),"78,310","1,427"
1138,Vermont,2004 (revised),"72,860","1,955"
1139,Virginia,2004 (revised),"78,720","1,718"
1140,Washington,2004 (revised),"76,850","1,644"
1141,West Virginia,2004 (revised),"51,370","1,806"
1142,Wisconsin,2004 (revised),"70,400","2,058"
1143,Wyoming,2004 (revised),"69,880","1,764"
1145,Alabama,2003,"58,790","2,493"
1146,Alaska,2003,"81,790","1,548"
1147,Arizona,2003,"64,960","2,244"
1148,Arkansas,2003,"50,500","1,224"
1149,California,2003,"77,790","1,292"
1150,Colorado,2003,"78,800","1,827"
1151,Connecticut,2003,"86,730","2,463"
1152,Delaware,2003,"77,350","2,174"
1153,District of Columbia,2003,"71,080","2,237"
1154,Florida,2003,"61,490","1,198"
1155,Georgia,2003,"66,960","1,545"
1156,Hawaii,2003,"81,790","2,102"
1157,Idaho,2003,"66,860","1,550"
1158,Illinois,2003,"71,250","1,692"
1159,Indiana,2003,"66,940","1,513"
1160,Iowa,2003,"65,300","1,395"
1161,Kansas,2003,"69,790","2,092"
1162,Kentucky,2003,"58,280","1,352"
1163,Louisiana,2003,"52,870","1,740"
1164,Maine,2003,"58,560","1,491"
1165,Maryland,2003,"82,550","1,930"
1166,Massachusetts,2003,"80,400","1,504"
1167,Michigan,2003,"71,040","1,499"
1168,Minnesota,2003,"83,350","1,938"
1169,Mississippi,2003,"51,640","1,756"
1170,Missouri,2003,"69,050","1,381"
1171,Montana,2003,"53,820","1,684"
1172,Nebraska,2003,"69,390","2,061"
1173,Nevada,2003,"71,300","2,452"
1174,New Hampshire,2003,"87,680","2,058"
1175,New Jersey,2003,"88,430","1,614"
1176,New Mexico,2003,"55,390","1,802"
1177,New York,2003,"67,520","1,376"
1178,North Carolina,2003,"58,820","1,485"
1179,North Dakota,2003,"63,760","1,344"
1180,Ohio,2003,"68,670","1,467"
1181,Oklahoma,2003,"56,650","1,232"
1182,Oregon,2003,"65,700","1,523"
1183,Pennsylvania,2003,"67,740","1,228"
1184,Rhode Island,2003,"70,550","1,971"
1185,South Carolina,2003,"60,720","1,769"
1186,South Dakota,2003,"62,360","1,584"
1187,Tennessee,2003,"59,210","1,864"
1188,Texas,2003,"61,970","1,202"
1189,Utah,2003,"77,750","1,423"
1190,Vermont,2003,"68,260","1,542"
1191,Virginia,2003,"86,440","2,466"
1192,Washington,2003,"74,960","2,201"
1193,West Virginia,2003,"51,700","1,567"
1194,Wisconsin,2003,"73,010","1,543"
1195,Wyoming,2003,"67,150","1,578"
1197,Alabama,2002,"60,570","1,711"
1198,Alaska,2002,"85,010","1,728"
1199,Arizona,2002,"64,000","1,616"
1200,Arkansas,2002,"52,170","1,253"
1201,California,2002,"76,410","1,234"
1202,Colorado,2002,"77,790","2,358"
1203,Connecticut,2002,"86,000","2,207"
1204,Delaware,2002,"79,980","2,714"
1205,District of Columbia,2002,"62,930","1,603"
1206,Florida,2002,"61,250","1,334"
1207,Georgia,2002,"69,170","1,783"
1208,Hawaii,2002,"76,200","2,208"
1209,Idaho,2002,"60,750","1,806"
1210,Illinois,2002,"68,800","1,379"
1211,Indiana,2002,"66,120","1,205"
1212,Iowa,2002,"66,120","1,856"
1213,Kansas,2002,"68,650","1,687"
1214,Kentucky,2002,"59,220","1,408"
1215,Louisiana,2002,"54,780","2,026"
1216,Maine,2002,"59,360","1,363"
1217,Maryland,2002,"90,860","2,468"
1218,Massachusetts,2002,"80,310","1,857"
1219,Michigan,2002,"68,810","1,796"
1220,Minnesota,2002,"87,980","1,927"
1221,Mississippi,2002,"49,740","1,234"
1222,Missouri,2002,"68,900","1,730"
1223,Montana,2002,"56,110","1,952"
1224,Nebraska,2002,"68,940","1,672"
1225,Nevada,2002,"72,420","1,870"
1226,New Hampshire,2002,"89,110","2,076"
1227,New Jersey,2002,"87,900","2,585"
1228,New Mexico,2002,"57,110","1,709"
1229,New York,2002,"67,600",934
1230,North Carolina,2002,"58,820","1,153"
1231,North Dakota,2002,"58,310","1,327"
1232,Ohio,2002,"68,760","1,252"
1233,Oklahoma,2002,"58,730",987
1234,Oregon,2002,"67,330","1,377"
1235,Pennsylvania,2002,"68,460","1,281"
1236,Rhode Island,2002,"68,330","1,409"
1237,South Carolina,2002,"60,910","1,972"
1238,South Dakota,2002,"61,010","1,535"
1239,Tennessee,2002,"59,650","1,790"
1240,Texas,2002,"64,670",907
1241,Utah,2002,"77,090","1,846"
1242,Vermont,2002,"69,260","1,337"
1243,Virginia,2002,"79,950","2,078"
1244,Washington,2002,"72,780","1,553"
1245,West Virginia,2002,"47,290","1,126"
1246,Wisconsin,2002,"73,940","1,524"
1247,Wyoming,2002,"64,050","1,572"
1249,Alabama,2001,"57,340","1,641"
1250,Alaska,2001,"93,550","3,281"
1251,Arizona,2001,"69,640","2,350"
1252,Arkansas,2001,"54,370","1,866"
1253,California,2001,"77,080","1,186"
1254,Colorado,2001,"80,560","1,941"
1255,Connecticut,2001,"87,000","2,022"
1256,Delaware,2001,"80,890","2,394"
1257,District of Columbia,2001,"67,140","1,668"
1258,Florida,2001,"59,400",680
1259,Georgia,2001,"69,440","1,750"
1260,Hawaii,2001,"77,370","2,048"
1261,Idaho,2001,"62,370","1,575"
1262,Illinois,2001,"75,300","1,434"
1263,Indiana,2001,"65,850","1,546"
1264,Iowa,2001,"66,830","1,848"
1265,Kansas,2001,"67,540","1,818"
1266,Kentucky,2001,"62,690","1,646"
1267,Louisiana,2001,"54,340","1,949"
1268,Maine,2001,"59,710","1,553"
1269,Maryland,2001,"87,300","2,694"
1270,Massachusetts,2001,"85,220","2,476"
1271,Michigan,2001,"73,470","1,416"
1272,Minnesota,2001,"85,920","1,849"
1273,Mississippi,2001,"49,190","1,934"
1274,Missouri,2001,"67,420","1,964"
1275,Montana,2001,"52,390","1,202"
1276,Nebraska,2001,"71,120","1,820"
1277,Nevada,2001,"74,050","1,843"
1278,New Hampshire,2001,"83,710","1,173"
1279,New Jersey,2001,"84,430","1,522"
1280,New Mexico,2001,"54,020","2,019"
1281,New York,2001,"68,680",979
1282,North Carolina,2001,"62,240","1,551"
1283,North Dakota,2001,"58,370","1,311"
1284,Ohio,2001,"68,150","1,078"
1285,Oklahoma,2001,"58,070","1,125"
1286,Oregon,2001,"67,310","1,226"
1287,Pennsylvania,2001,"70,940","1,179"
1288,Rhode Island,2001,"74,570","1,871"
1289,South Carolina,2001,"61,540","1,668"
1290,South Dakota,2001,"64,700","1,396"
1291,Tennessee,2001,"58,360","1,290"
1292,Texas,2001,"66,640",835
1293,Utah,2001,"77,210","2,611"
1294,Vermont,2001,"66,530","1,540"
1295,Virginia,2001,"81,940","1,872"
1296,Washington,2001,"69,300","2,061"
1297,West Virginia,2001,"48,390","1,099"
1298,Wisconsin,2001,"73,950","1,831"
1299,Wyoming,2001,"64,780","1,902"
1301,Alabama,2000 (30),"59,070","1,788"
1302,Alaska,2000 (30),"88,130","1,933"
1303,Arizona,2000 (30),"66,340","2,018"
1304,Arkansas,2000 (30),"49,520","1,287"
1305,California,2000 (30),"78,070","1,144"
1306,Colorado,2000 (30),"80,450","2,063"
1307,Connecticut,2000 (30),"83,670","2,263"
1308,Delaware,2000 (30),"83,990","2,515"
1309,District of Columbia,2000 (30),"68,740","1,788"
1310,Florida,2000 (30),"64,800","1,239"
1311,Georgia,2000 (30),"69,880","1,386"
1312,Hawaii,2000 (30),"85,960","1,990"
1313,Idaho,2000 (30),"62,720","1,988"
1314,Illinois,2000 (30),"76,820","1,611"
1315,Indiana,2000 (30),"68,150","1,132"
1316,Iowa,2000 (30),"68,360","1,352"
1317,Kansas,2000 (30),"68,470","1,948"
1318,Kentucky,2000 (30),"60,480","1,414"
1319,Louisiana,2000 (30),"51,230","1,381"
1320,Maine,2000 (30),"62,150","1,423"
1321,Maryland,2000 (30),"90,950","2,335"
1322,Massachusetts,2000 (30),"77,970","2,263"
1323,Michigan,2000 (30),"75,900","1,826"
